Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PnG Merchandising With Channel Wise Data Verification,,,2019-05-10 12:39:15,2019-05-10 12:41:26,2m - 11.337s,ERROR
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-05-10 12:39:15,2019-05-10 12:39:40,24.999s,PASSED
"startApplication(""F:\QA_Automation\Builds\png_070818_live_v152.apk"", false)",,launch application,2019-05-10 12:39:16,2019-05-10 12:39:35,19.225s,PASSED
delay(5),,delay of 5 seconds,2019-05-10 12:39:35,2019-05-10 12:39:40,5.051s,PASSED
,,,,,,
Test Cases/SliderOptions/VisitSliderOptions,,,2019-05-10 12:39:40,2019-05-10 12:41:04,1m - 23.293s,ERROR
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,,2019-05-10 12:39:41,2019-05-10 12:39:44,3.331s,PASSED
"swipe(2, 250, 400, 250)",,,2019-05-10 12:39:44,2019-05-10 12:39:45,0.845s,PASSED
"swipe(2, 250, 400, 250)",,,2019-05-10 12:39:45,2019-05-10 12:39:46,0.792s,PASSED
"verifyElementExist(findTestObject(""SliderOptions/Validate_SliderOptionsList"", [""package"":PACKAGENAME]), 0)",,,2019-05-10 12:39:46,2019-05-10 12:39:46,0.389s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.valideSliderOptions(),,,2019-05-10 12:39:46,2019-05-10 12:40:05,19.134s,PASSED
"swipe(5, 150, 5, 550)",,,2019-05-10 12:40:05,2019-05-10 12:40:06,0.831s,PASSED
"swipe(5, 150, 5, 550)",,,2019-05-10 12:40:06,2019-05-10 12:40:07,0.798s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.visitSliderOption(),,,2019-05-10 12:40:07,2019-05-10 12:41:04,56.864s,ERROR
,,,,,,
Test Cases/Attendence/VisitAttendance,,,2019-05-10 12:41:04,2019-05-10 12:41:11,7.568s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate dashboard screen appearance,2019-05-10 12:41:04,2019-05-10 12:41:11,7.324s,FAILED
,,,,,,
Test Cases/DistributionPoint/VisitDistributionPoint,,,2019-05-10 12:41:11,2019-05-10 12:41:19,7.430s,FAILED
"verifyElementText(findTestObject(""DistributionPoint/Validate_RouteInfoScreen"", [""package"":PACKAGENAME]), ""Route Info"")",,validate channel summary detail screen appearance,2019-05-10 12:41:12,2019-05-10 12:41:19,7.105s,FAILED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithChannelWiseDataVerification,,,2019-05-10 12:41:19,2019-05-10 12:41:26,7.624s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-05-10 12:41:19,2019-05-10 12:41:26,7.272s,FAILED
