Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PnG Merchandising With Channel Wise Data Verification,,,2019-05-10 12:52:33,2019-05-10 12:55:56,3m - 22.494s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-05-10 12:52:34,2019-05-10 12:52:59,25.518s,PASSED
"startApplication(""F:\QA_Automation\Builds\png_070818_live_v152.apk"", false)",,launch application,2019-05-10 12:52:34,2019-05-10 12:52:54,19.710s,PASSED
delay(5),,delay of 5 seconds,2019-05-10 12:52:54,2019-05-10 12:52:59,5.072s,PASSED
,,,,,,
Test Cases/SliderOptions/VisitSliderOptions,,,2019-05-10 12:52:59,2019-05-10 12:55:27,2m - 28.288s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,,2019-05-10 12:53:00,2019-05-10 12:53:08,8.213s,PASSED
"swipe(2, 250, 400, 250)",,,2019-05-10 12:53:08,2019-05-10 12:53:09,0.987s,PASSED
"swipe(2, 250, 400, 250)",,,2019-05-10 12:53:09,2019-05-10 12:53:10,0.833s,PASSED
"verifyElementExist(findTestObject(""SliderOptions/Validate_SliderOptionsList"", [""package"":PACKAGENAME]), 0)",,,2019-05-10 12:53:10,2019-05-10 12:53:10,0.238s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.valideSliderOptions(),,,2019-05-10 12:53:10,2019-05-10 12:53:29,18.488s,PASSED
"swipe(5, 150, 5, 550)",,,2019-05-10 12:53:29,2019-05-10 12:53:29,0.754s,PASSED
"swipe(5, 150, 5, 550)",,,2019-05-10 12:53:29,2019-05-10 12:53:30,0.744s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.visitSliderOption(),,,2019-05-10 12:53:30,2019-05-10 12:55:27,1m - 57.341s,FAILED
,,,,,,
Test Cases/Attendence/VisitAttendance,,,2019-05-10 12:55:27,2019-05-10 12:55:36,8.128s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate dashboard screen appearance,2019-05-10 12:55:28,2019-05-10 12:55:36,7.487s,FAILED
,,,,,,
Test Cases/DistributionPoint/VisitDistributionPoint,,,2019-05-10 12:55:36,2019-05-10 12:55:48,12.372s,FAILED
"verifyElementText(findTestObject(""DistributionPoint/Validate_RouteInfoScreen"", [""package"":PACKAGENAME]), ""Route Info"")",,validate channel summary detail screen appearance,2019-05-10 12:55:36,2019-05-10 12:55:48,12.077s,FAILED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithChannelWiseDataVerification,,,2019-05-10 12:55:48,2019-05-10 12:55:56,7.725s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-05-10 12:55:48,2019-05-10 12:55:56,7.319s,FAILED
