Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PnG Merchandising With Channel Wise Data Verification,,,2019-05-10 15:48:51,2019-05-10 15:51:51,2m - 59.575s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-05-10 15:48:52,2019-05-10 15:49:20,27.823s,PASSED
"startApplication(""F:\QA_Automation\Builds\png_070818_live_v152.apk"", false)",,launch application,2019-05-10 15:48:53,2019-05-10 15:49:15,21.978s,PASSED
delay(5),,delay of 5 seconds,2019-05-10 15:49:15,2019-05-10 15:49:20,5.070s,PASSED
,,,,,,
Test Cases/SliderOptions/VisitSliderOptions,,,2019-05-10 15:49:20,2019-05-10 15:51:51,2m - 31.163s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,,2019-05-10 15:49:21,2019-05-10 15:49:28,6.981s,PASSED
"swipe(2, 250, 400, 250)",,,2019-05-10 15:49:28,2019-05-10 15:49:29,1.136s,PASSED
"swipe(2, 250, 400, 250)",,,2019-05-10 15:49:29,2019-05-10 15:49:30,0.923s,PASSED
"verifyElementExist(findTestObject(""SliderOptions/Validate_SliderOptionsList"", [""package"":PACKAGENAME]), 0)",,,2019-05-10 15:49:30,2019-05-10 15:49:30,0.439s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.valideSliderOptions(),,,2019-05-10 15:49:30,2019-05-10 15:49:51,21.179s,PASSED
"swipe(5, 150, 5, 550)",,,2019-05-10 15:49:51,2019-05-10 15:49:52,0.838s,PASSED
"swipe(5, 150, 5, 550)",,,2019-05-10 15:49:52,2019-05-10 15:49:53,0.995s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.visitSliderOption(),,,2019-05-10 15:49:53,2019-05-10 15:51:51,1m - 57.711s,FAILED
